,Sensitivity,Specificity,Train Accuracy,Test Accuracy
0,100.0,100.0,100.0,100.0
1,100.0,95.5,100.0,97.5
2,100.0,100.0,100.0,100.0
3,100.0,100.0,100.0,100.0
4,100.0,100.0,100.0,100.0
5,Avg: 100.0,Avg: 99.1,Avg: 100.0,Avg: 99.5
6,Std: 0.0,Std: 1.8,Std: 0.0,Std: 1.0
